========================================
Antarctic_Heat 调参结果汇总
生成时间: 2026-04-23 15:14:15
========================================

格式: window_size | contrastive_weight | learning_rate | MSE | MAE | best_epoch
6 | 0.0001 | 0.0012 | 0.15189450979232788 | 0.26616978645324707 | N/A
6 | 0.0001 | 0.001 | 0.14958199858665466 | 0.2653842270374298 | N/A
6 | 0.0001 | 0.002 | 0.15610605478286743 | 0.26690199971199036 | N/A
6 | 0.0005 | 0.0001 | 0.151383176445961 | 0.26668086647987366 | N/A
6 | 0.0005 | 0.0002 | 0.1519092470407486 | 0.2677529752254486 | N/A
6 | 0.0005 | 0.0005 | 0.15401297807693481 | 0.2701498568058014 | N/A
6 | 0.0005 | 0.0012 | 0.15395456552505493 | 0.26870614290237427 | N/A
6 | 0.0005 | 0.001 | 0.15262630581855774 | 0.2672175168991089 | N/A
6 | 0.0005 | 0.002 | 0.15971247851848602 | 0.2699865400791168 | N/A
6 | 0.001 | 0.0001 | 0.15115660429000854 | 0.2666352093219757 | N/A
6 | 0.001 | 0.0002 | 0.1536322385072708 | 0.2691272497177124 | N/A
6 | 0.001 | 0.0005 | 0.15477941930294037 | 0.27036845684051514 | N/A
6 | 0.001 | 0.0012 | 0.1481970250606537 | 0.26288941502571106 | N/A
6 | 0.001 | 0.001 | 0.14935614168643951 | 0.2644987404346466 | N/A
6 | 0.001 | 0.002 | 0.15396402776241302 | 0.2653970420360565 | N/A
6 | 0.005 | 0.0001 | 0.15115343034267426 | 0.26636654138565063 | N/A
6 | 0.005 | 0.0002 | 0.1522429883480072 | 0.2675670087337494 | N/A
6 | 0.005 | 0.0005 | 0.15616895258426666 | 0.2713997960090637 | N/A
6 | 0.005 | 0.0012 | 0.1505286991596222 | 0.26528728008270264 | N/A
6 | 0.005 | 0.001 | 0.15179789066314697 | 0.26614320278167725 | N/A
6 | 0.005 | 0.002 | 0.15317325294017792 | 0.2662247121334076 | N/A
6 | 0.01 | 0.0001 | 0.15267826616764069 | 0.2676126956939697 | N/A
6 | 0.01 | 0.0002 | 0.15400980412960052 | 0.2697945237159729 | N/A
6 | 0.01 | 0.0005 | 0.15865850448608398 | 0.274248868227005 | N/A
6 | 0.01 | 0.0012 | 0.15786781907081604 | 0.2719550132751465 | N/A
6 | 0.01 | 0.001 | 0.15849506855010986 | 0.27278730273246765 | N/A
6 | 0.01 | 0.002 | 0.15615056455135345 | 0.2684513032436371 | N/A
9 | 0.00001 | 0.0001 | 0.1542447805404663 | 0.2699122428894043 | N/A
9 | 0.00001 | 0.0002 | 0.15770672261714935 | 0.27261775732040405 | N/A
9 | 0.00001 | 0.0005 | 0.16372476518154144 | 0.27882516384124756 | N/A
9 | 0.00001 | 0.0012 | 0.15836746990680695 | 0.273701012134552 | N/A
9 | 0.00001 | 0.001 | 0.15605078637599945 | 0.2713330090045929 | N/A
9 | 0.00001 | 0.002 | 0.1521814912557602 | 0.26383596658706665 | N/A
9 | 0.00005 | 0.0001 | 0.15422625839710236 | 0.26985299587249756 | N/A
9 | 0.00005 | 0.0002 | 0.15781737864017487 | 0.27270078659057617 | N/A
9 | 0.00005 | 0.0005 | 0.16413356363773346 | 0.27893662452697754 | N/A
9 | 0.00005 | 0.0012 | 0.15435366332530975 | 0.2697077691555023 | N/A
9 | 0.00005 | 0.001 | 0.16050632297992706 | 0.2762642204761505 | N/A
9 | 0.00005 | 0.002 | 0.16463415324687958 | 0.2739725410938263 | N/A
